rozklad,n,k,metoda,czas,liczba porównań punktów,liczba porównań współrzędnych,liczba punktów niezdominowanych
jednostajny,100,2,klasyczna,0.0017281000036746264,1682,2174,5
jednostajny,100,2,filtracja,0.00025839998852461576,247,374,5
jednostajny,100,2,punkt_idealny,0.00031770009081810713,119,225,5
jednostajny,100,2,klasyczna,0.001442599925212562,1400,1691,3
jednostajny,100,2,filtracja,0.00026030000299215317,247,379,3
jednostajny,100,2,punkt_idealny,0.0002943000290542841,117,217,3
jednostajny,100,2,klasyczna,0.0018587999511510134,1801,2397,2
jednostajny,100,2,filtracja,0.0002269999822601676,216,365,2
jednostajny,100,2,punkt_idealny,0.0002902999985963106,107,210,2
jednostajny,100,2,klasyczna,0.0012311999453231692,1201,1542,5
jednostajny,100,2,filtracja,0.00024289998691529036,231,345,5
jednostajny,100,2,punkt_idealny,0.00030940002761781216,120,214,5
jednostajny,100,2,klasyczna,0.0015927000204101205,1534,1981,6
jednostajny,100,2,filtracja,0.0002576999831944704,248,369,6
jednostajny,100,2,punkt_idealny,0.00031240005046129227,127,221,6
jednostajny,1000,2,klasyczna,0.030657799914479256,30633,38896,8
jednostajny,1000,2,filtracja,0.0022055000299587846,2132,3218,8
jednostajny,1000,2,punkt_idealny,0.007640899973921478,1051,2070,8
jednostajny,1000,2,klasyczna,0.02190600009635091,22095,27608,9
jednostajny,1000,2,filtracja,0.0024350000312551856,2375,3566,9
jednostajny,1000,2,punkt_idealny,0.003376399981789291,1178,2248,9
jednostajny,1000,2,klasyczna,0.02098280005156994,20312,24530,6
jednostajny,1000,2,filtracja,0.0022882999619469047,2132,3205,6
jednostajny,1000,2,punkt_idealny,0.003077999921515584,1078,2111,6
jednostajny,1000,2,klasyczna,0.030408799997530878,30464,36342,7
jednostajny,1000,2,filtracja,0.0023476999485865235,2223,3349,7
jednostajny,1000,2,punkt_idealny,0.003272000001743436,1099,2099,7
jednostajny,1000,2,klasyczna,0.027723199920728803,27188,35739,8
jednostajny,1000,2,filtracja,0.0022287999745458364,2126,3236,8
jednostajny,1000,2,punkt_idealny,0.00315290002617985,1073,2092,8
jednostajny,1000,2,klasyczna,0.032328000059351325,31518,38707,12
jednostajny,1000,2,filtracja,0.0022959000198170543,2244,3356,12
jednostajny,1000,2,punkt_idealny,0.0037441999884322286,1171,2282,12
jednostajny,1000,2,klasyczna,0.03216439997777343,29960,37383,13
jednostajny,1000,2,filtracja,0.002988099935464561,2629,3940,13
jednostajny,1000,2,punkt_idealny,0.0033451999770477414,1110,2169,13
jednostajny,1000,2,klasyczna,0.028610699926503003,26682,33337,11
jednostajny,1000,2,filtracja,0.0022864999482408166,2233,3347,11
jednostajny,1000,2,punkt_idealny,0.0032010000431910157,1138,2193,11
jednostajny,1000,2,klasyczna,0.022660700022242963,22549,27154,9
jednostajny,1000,2,filtracja,0.0021659000776708126,2127,3191,9
jednostajny,1000,2,punkt_idealny,0.0031750999623909593,1097,2129,9
jednostajny,1000,2,klasyczna,0.02903640002477914,29063,33130,4
jednostajny,1000,2,filtracja,0.0020973999053239822,2038,3081,4
jednostajny,1000,2,punkt_idealny,0.0031123000662773848,1021,2024,4
jednostajny,1000,2,klasyczna,0.03523529996164143,35645,42325,6
jednostajny,1000,2,filtracja,0.002237199922092259,2148,3275,6
jednostajny,1000,2,punkt_idealny,0.003271699999459088,1121,2181,6
jednostajny,1000,2,klasyczna,0.023928900016471744,24201,31249,10
jednostajny,1000,2,filtracja,0.002292199991643429,2216,3320,10
jednostajny,1000,2,punkt_idealny,0.003297099960036576,1153,2232,10
jednostajny,1000,2,klasyczna,0.04012739995960146,40170,49228,6
